open Time,Open,High,Low,Close,Volume
2023-09-02,25820.01,25987.5,25763.2,25869.51,10639.71419
2023-09-03,25869.52,26135.0,25800.0,25971.21,17474.47667
2023-09-04,25971.21,26108.02,25631.21,25826.02,21777.59609
2023-09-05,25826.03,25915.49,25562.62,25753.04,20246.61547
