Open,High,Low,Close,Volume,open Time,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
1693659300000,25804.34000000,25808.73000000,25802.71000000,25808.72000000,38.69930000,1693659599999,998629.03318190,2190,16.41038000,423476.21006540,0
1693659600000,25808.73000000,25810.88000000,25808.72000000,25808.73000000,48.41149000,1693659899999,1249507.99221000,2069,14.98509000,386772.70685080,0
1693659900000,25808.73000000,25809.38000000,25808.72000000,25808.72000000,41.60973000,1693660199999,1073901.91398030,2079,13.97824000,360762.87330980,0
1693660200000,25808.72000000,25809.74000000,25794.67000000,25794.68000000,107.01685000,1693660499999,2761210.87682110,4366,45.97484000,1186233.37904690,0
1693660500000,25794.68000000,25794.68000000,25785.64000000,25790.08000000,82.66992000,1693660799999,2132072.45928030,2982,35.83235000,924109.23678020,0
1693660800000,25790.08000000,25809.05000000,25789.17000000,25809.04000000,74.42129000,1693661099999,1919870.07808990,2337,43.35389000,1118399.21152500,0
1693661100000,25809.04000000,25809.44000000,25809.04000000,25809.43000000,31.93541000,1693661399999,824231.11137660,1687,16.64789000,429670.21266970,0
1693661400000,25809.44000000,25824.59000000,25809.43000000,25824.59000000,83.11529000,1693661699999,2146062.39469540,2811,55.18398000,1424798.94895830,0
1693661700000,25824.58000000,25844.01000000,25824.58000000,25844.01000000,65.48955000,1693661999999,1691711.97612050,2752,37.40447000,966242.24118150,0
1693662000000,25844.00000000,25853.76000000,25835.51000000,25839.99000000,83.75520000,1693662299999,2164537.78749130,3238,35.73302000,923478.98364440,0
1693662300000,25839.99000000,25841.84000000,25828.54000000,25831.83000000,55.76777000,1693662599999,1440768.12262220,2374,17.02566000,439829.37998250,0
1693662600000,25831.83000000,25831.84000000,25815.27000000,25822.64000000,47.83798000,1693662899999,1235283.78159550,2536,19.25238000,497107.83041530,0
1693662900000,25822.63000000,25830.00000000,25822.63000000,25825.01000000,44.42986000,1693663199999,1147473.22759980,1856,28.22993000,729061.89326480,0
1693663200000,25825.00000000,25832.77000000,25825.00000000,25832.54000000,53.89070000,1693663499999,1392038.33929960,1859,35.36446000,913461.28393280,0
1693663500000,25832.54000000,25846.64000000,25832.54000000,25846.63000000,51.29249000,1693663799999,1325459.69197060,1993,26.66504000,689001.81921900,0
1693663800000,25846.63000000,25852.56000000,25839.00000000,25840.92000000,80.35517000,1693664099999,2076856.78162110,2287,33.54860000,867030.70035070,0
1693664100000,25840.92000000,25843.23000000,25831.57000000,25832.44000000,50.01510000,1693664399999,1292275.22796930,1838,10.24222000,264626.92367780,0
1693664400000,25832.44000000,25834.29000000,25810.36000000,25810.36000000,54.08235000,1693664699999,1396598.16336690,2156,11.24523000,290442.69155120,0
1693664700000,25810.37000000,25815.01000000,25808.07000000,25808.21000000,71.69022000,1693664999999,1850452.96395160,2276,23.87598000,616270.62016960,0
1693665000000,25808.20000000,25825.00000000,25808.20000000,25824.99000000,90.26382000,1693665299999,2330395.52954820,2639,62.37398000,1610231.77094740,0
1693665300000,25825.00000000,25834.53000000,25821.89000000,25828.80000000,48.44828000,1693665599999,1251361.49484620,2050,18.80004000,485570.33097720,0
1693665600000,25828.81000000,25888.00000000,25827.79000000,25869.23000000,150.93907000,1693665899999,3902486.00587400,3633,96.60246000,2497455.27177720,0
1693665900000,25869.22000000,25894.48000000,25864.05000000,25880.71000000,144.37056000,1693666199999,3736057.38141910,3720,74.85613000,1937135.58658150,0
1693666200000,25880.72000000,25880.72000000,25860.87000000,25865.34000000,89.33567000,1693666499999,2310692.98801810,2507,33.44016000,864915.19013590,0
1693666500000,25865.34000000,25879.12000000,25862.62000000,25866.00000000,95.04595000,1693666799999,2458595.29254040,2565,50.13669000,1296885.05388780,0
1693666800000,25866.00000000,25884.61000000,25866.00000000,25884.60000000,127.23320000,1693667099999,3291884.93804900,2993,64.95797000,1680609.47884620,0
1693667100000,25884.61000000,25945.83000000,25884.60000000,25937.10000000,264.28207000,1693667399999,6848759.58540460,6094,160.92679000,4170348.74349950,0
1693667400000,25937.10000000,25940.00000000,25911.83000000,25916.64000000,187.93888000,1693667699999,4872248.05698140,4200,80.96871000,2099020.13905670,0
1693667700000,25916.65000000,25949.49000000,25910.01000000,25942.06000000,157.56493000,1693667999999,4085054.48155910,4136,79.71960000,2066732.46073020,0
1693668000000,25942.07000000,25942.07000000,25927.09000000,25927.09000000,94.71377000,1693668299999,2456621.36904820,2899,35.84804000,929803.65134800,0
1693668300000,25927.10000000,25958.43000000,25927.09000000,25945.86000000,204.49592000,1693668599999,5305649.27196380,3837,107.57574000,2791002.85719330,0
1693668600000,25945.86000000,25949.99000000,25927.49000000,25938.98000000,154.99679000,1693668899999,4020166.56406510,3535,71.23658000,1847542.85346260,0
1693668900000,25938.98000000,25948.68000000,25928.91000000,25946.47000000,124.48190000,1693669199999,3229013.92447550,2866,58.80383000,1525319.53214360,0
1693669200000,25946.47000000,25987.50000000,25932.59000000,25937.43000000,200.29458000,1693669499999,5199230.28325100,5445,88.90316000,2308078.45818450,0
1693669500000,25937.42000000,25945.00000000,25881.64000000,25901.51000000,202.86933000,1693669799999,5256139.95219290,5018,103.82030000,2689248.81936890,0
1693669800000,25901.50000000,25911.02000000,25897.65000000,25899.39000000,96.09594000,1693670099999,2489415.66310970,2885,46.65378000,1208572.93495630,0
1693670100000,25899.38000000,25903.41000000,25894.76000000,25894.76000000,59.62451000,1693670399999,1544326.22196790,2199,15.68034000,406146.76753170,0
1693670400000,25894.77000000,25909.98000000,25894.49000000,25903.59000000,64.35937000,1693670699999,1666983.98314490,2194,30.49435000,789793.78199760,0
1693670700000,25903.58000000,25925.25000000,25903.58000000,25925.24000000,106.00066000,1693670999999,2747372.86621270,2834,68.77370000,1782496.70158310,0
1693671000000,25925.23000000,25935.49000000,25925.23000000,25935.48000000,49.77865000,1693671299999,1290817.62184310,1438,37.94346000,983895.36504250,0
1693671300000,25935.49000000,25937.91000000,25911.40000000,25911.41000000,124.80123000,1693671599999,3235258.23251220,3030,33.17928000,860045.19534450,0
1693671600000,25911.41000000,25915.70000000,25900.42000000,25900.42000000,46.93347000,1693671899999,1216061.79179870,1962,12.79129000,331433.16269970,0
1693671900000,25900.43000000,25900.43000000,25875.54000000,25875.54000000,125.32679000,1693672199999,3244593.78553820,3508,46.90951000,1214329.39721770,0
1693672200000,25875.54000000,25880.71000000,25865.00000000,25875.41000000,96.62948000,1693672499999,2499937.73039380,3052,40.34220000,1043716.79845070,0
1693672500000,25875.42000000,25879.02000000,25843.93000000,25866.05000000,90.19372000,1693672799999,2332686.61700610,3094,28.78727000,744565.65412980,0
1693672800000,25866.04000000,25877.00000000,25860.01000000,25862.99000000,83.24576000,1693673099999,2153443.12822680,2491,42.80032000,1107127.99684160,0
1693673100000,25862.99000000,25877.59000000,25855.66000000,25867.98000000,66.67445000,1693673399999,1724534.77770390,2618,31.91626000,825481.06874140,0
1693673400000,25867.97000000,25877.59000000,25856.80000000,25859.99000000,98.05138000,1693673699999,2536256.59211430,3081,46.99114000,1215530.60093510,0
1693673700000,25859.99000000,25866.00000000,25856.00000000,25861.42000000,91.36747000,1693673999999,2362736.27215860,2618,46.46272000,1201531.96157170,0
1693674000000,25861.41000000,25870.00000000,25861.41000000,25870.00000000,69.29826000,1693674299999,1792372.74626940,2233,44.67470000,1155481.29020940,0
1693674300000,25870.00000000,25873.88000000,25851.46000000,25851.47000000,64.15955000,1693674599999,1659254.73196190,2524,15.77763000,408040.69081870,0
1693674600000,25851.46000000,25866.41000000,25847.09000000,25849.98000000,81.79578000,1693674899999,2115084.28065850,2308,32.24526000,833803.61162250,0
1693674900000,25849.98000000,25869.47000000,25849.97000000,25869.46000000,51.26663000,1693675199999,1325951.96374610,1784,34.17869000,883977.29960260,0
1693675200000,25869.47000000,25869.47000000,25854.62000000,25854.63000000,39.43958000,1693675499999,1020018.25684500,1887,10.18625000,263439.51917590,0
1693675500000,25854.63000000,25865.33000000,25854.20000000,25862.82000000,28.58772000,1693675799999,739291.02781830,1479,12.39574000,320551.05417220,0
1693675800000,25862.82000000,25867.71000000,25847.25000000,25851.85000000,56.90603000,1693676099999,1471453.06103280,2238,21.87821000,565674.68596950,0
1693676100000,25851.84000000,25851.85000000,25831.61000000,25837.12000000,82.85673000,1693676399999,2141026.82817780,2765,25.36382000,655367.41962960,0
1693676400000,25837.12000000,25846.95000000,25837.12000000,25841.30000000,57.11647000,1693676699999,1475946.30293020,1857,29.20505000,754684.01640750,0
1693676700000,25841.30000000,25841.31000000,25822.37000000,25832.53000000,90.38129000,1693676999999,2334821.87633340,2869,49.82952000,1287216.77807720,0
